occupation_code_1970,occupation_label,major_group,subgroup
000,N/A (Not Applicable),Not Applicable,
001,Accountants,"Professional, Technical, and Kindred Workers",
002,Architects,"Professional, Technical, and Kindred Workers",
003,Computer programmers,"Professional, Technical, and Kindred Workers",Computer specialists
004,Computer systems analysts,"Professional, Technical, and Kindred Workers",Computer specialists
005,"Computer specialists, n.e.c.","Professional, Technical, and Kindred Workers",Computer specialists
006,Aeronautical and astronautical engineers,"Professional, Technical, and Kindred Workers",Engineers
010,Chemical engineers,"Professional, Technical, and Kindred Workers",Engineers
011,Civil engineers,"Professional, Technical, and Kindred Workers",Engineers
012,Electrical end electronic engineers,"Professional, Technical, and Kindred Workers",Engineers
013,Industrial engineers,"Professional, Technical, and Kindred Workers",Engineers
014,Mechanical engineers,"Professional, Technical, and Kindred Workers",Engineers
015,Metallurgical and materials engineers,"Professional, Technical, and Kindred Workers",Engineers
020,Mining engineers,"Professional, Technical, and Kindred Workers",Engineers
021,Petroleum engineers,"Professional, Technical, and Kindred Workers",Engineers
022,Sales engineers,"Professional, Technical, and Kindred Workers",Engineers
023,"Engineers, n.e.c.","Professional, Technical, and Kindred Workers",Engineers
024,Farm management advisors,"Professional, Technical, and Kindred Workers",Engineers
025,Foresters and conservationists,"Professional, Technical, and Kindred Workers",Engineers
026,Home management advisors,"Professional, Technical, and Kindred Workers",Engineers
030,Judges,"Professional, Technical, and Kindred Workers",Lawyers and judges
031,Lawyers,"Professional, Technical, and Kindred Workers",Lawyers and judges
032,Librarians,"Professional, Technical, and Kindred Workers","Librarians, archivists, and curators"
033,Archivists and curators,"Professional, Technical, and Kindred Workers","Librarians, archivists, and curators"
034,Actuaries,"Professional, Technical, and Kindred Workers",Mathematical specialists
035,Mathematicians,"Professional, Technical, and Kindred Workers",Mathematical specialists
036,Statisticians,"Professional, Technical, and Kindred Workers",Mathematical specialists
042,Agricultural scientists,"Professional, Technical, and Kindred Workers",Life and physical scientists
043,Atmospheric and space scientists,"Professional, Technical, and Kindred Workers",Life and physical scientists
044,Biological scientists,"Professional, Technical, and Kindred Workers",Life and physical scientists
045,Chemists,"Professional, Technical, and Kindred Workers",Life and physical scientists
051,Geologists,"Professional, Technical, and Kindred Workers",Life and physical scientists
052,Marine scientists,"Professional, Technical, and Kindred Workers",Life and physical scientists
053,Physicists and astronomers,"Professional, Technical, and Kindred Workers",Life and physical scientists
