qname,code,label
occall_emp_01,0,N/A (Not Applicable)
occall_emp_01,1,Accountants
occall_emp_01,2,Architects
occall_emp_01,3,Computer programmers
occall_emp_01,4,Computer systems analysts
occall_emp_01,5,"Computer specialists, n.e.c."
occall_emp_01,6,Aeronautical and astronautical engineers
occall_emp_01,10,Chemical engineers
occall_emp_01,11,Civil engineers
occall_emp_01,12,Electrical end electronic engineers
occall_emp_01,13,Industrial engineers
occall_emp_01,14,Mechanical engineers
occall_emp_01,15,Metallurgical and materials engineers
occall_emp_01,20,Mining engineers
occall_emp_01,21,Petroleum engineers
occall_emp_01,22,Sales engineers
occall_emp_01,23,"Engineers, n.e.c."
occall_emp_01,24,Farm management advisors
occall_emp_01,25,Foresters and conservationists
occall_emp_01,26,Home management advisors
occall_emp_01,30,Judges
occall_emp_01,31,Lawyers
occall_emp_01,32,Librarians
occall_emp_01,33,Archivists and curators
occall_emp_01,34,Actuaries
occall_emp_01,35,Mathematicians
occall_emp_01,36,Statisticians
occall_emp_01,42,Agricultural scientists
occall_emp_01,43,Atmospheric and space scientists
occall_emp_01,44,Biological scientists
occall_emp_01,45,Chemists
occall_emp_01,51,Geologists
occall_emp_01,52,Marine scientists
occall_emp_01,53,Physicists and astronomers
occall_emp_01,54,"Life and physical scientists, n.e.c."
occall_emp_01,55,Operations and systems researchers and analysts
occall_emp_01,56,Personnel and labor relations workers
occall_emp_01,61,Chiropractors
occall_emp_01,62,Dentists
occall_emp_01,63,Optometrists
occall_emp_01,64,Pharmacists
occall_emp_01,65,"Physicians, medical and osteopathic"
occall_emp_01,71,Podiatrists
occall_emp_01,72,Veterinarians
occall_emp_01,73,"Health practitioners, n.e.c."
occall_emp_01,74,Dietitians
occall_emp_01,75,Registered nurses
occall_emp_01,76,Therapists
occall_emp_01,80,Clinical laboratory technologists and technicians
occall_emp_01,81,Dental hygienists
occall_emp_01,82,Health record technologists and technicians
occall_emp_01,83,Radiologic technologists and technicians
occall_emp_01,84,Therapy assistants
occall_emp_01,85,"Health technologists and technicians, n.e.c."
occall_emp_01,86,Clergymen
occall_emp_01,90,"Religious workers, n.e.c."
occall_emp_01,91,Economists
occall_emp_01,92,Political scientists
occall_emp_01,93,Psychologists
occall_emp_01,94,Sociologists
occall_emp_01,95,Urban and regional planners
occall_emp_01,96,"Social scientists, n.e.c."
occall_emp_01,100,Social workers
occall_emp_01,101,Recreation workers
occall_emp_01,102,Agriculture teachers
occall_emp_01,103,"Atmospheric, earth, marine, and space teachers"
occall_emp_01,104,Biology teachers
occall_emp_01,105,Chemistry teachers
occall_emp_01,110,Physics teachers
occall_emp_01,111,Engineering teachers
occall_emp_01,112,Mathematics teachers
occall_emp_01,113,Health specialties teachers
occall_emp_01,114,Psychology teachers
occall_emp_01,115,Business and commerce teachers
